OT,MT,DEP,SC,LAT,LON,SPOT
2023-08-05,1.6,19.0,1,36.54,129.64,경북 영덕군 동북동쪽 28km 해역
2023-08-04,2.1,22.0,1,33.73,127.22,전남 여수시 거문도 남남서쪽 34km 해역
2023-08-03,1.1,6.0,1,35.72,129.38,경북 경주시 남동쪽 21km 지역
2023-08-02,1.3,9.0,2,36.09,129.34,경북 포항시 북구 북북서쪽 6km 지역
2023-07-31,1.3,13.0,1,35.7,125.45,전북 군산시 어청도 남서쪽 66km 해역
2023-07-30,1.7,5.0,1,35.71,124.84,전북 군산시 어청도 서남서쪽 112km 해역
2023-07-30,1.0,12.0,1,36.25,127.91,충북 영동군 북동쪽 14km 지역
2023-07-30,1.8,20.0,1,33.44,127.15,제주 제주시 동쪽 58km 해역
2023-07-29,1.3,6.0,2,35.8,127.53,전북 장수군 북쪽 17km 지역
2023-07-29,3.5,6.0,5,35.8,127.53,전북 장수군 북쪽 17km 지역
2023-07-29,0.9,10.0,1,36.76,129.04,경북 영양군 북북서쪽 12km 지역
2023-07-28,2.0,17.0,1,41.31,129.23,북한 함경북도 길주 북북서쪽 40km 지역
2023-07-26,1.3,17.0,1,36.46,129.63,경북 영덕군 동북동쪽 24km 해역
2023-07-26,1.5,13.0,1,37.52,124.93,인천 옹진군 백령도 남남동쪽 53km 해역
2023-07-24,1.5,10.0,2,37.16,129.4,경북 울진군 북쪽 19km 해역
2023-07-23,1.3,16.0,1,36.45,129.61,경북 영덕군 동쪽 22km 해역
2023-07-23,1.5,12.0,1,35.42,128.11,경남 합천군 남남서쪽 17km 지역
2023-07-23,1.6,17.0,1,35.75,126.64,전북 부안군 서북서쪽 9km 지역
2023-07-22,1.0,5.0,1,36.66,127.03,충남 천안시 동남구 남남서쪽 20km 지역
2023-07-22,1.7,10.0,1,35.09,125.09,전남 신안군 흑산도 북북서쪽 56km 해역
2023-07-22,1.1,11.0,1,35.5,128.89,경남 밀양시 동쪽 13km 지역
2023-07-21,1.4,26.0,1,33.29,126.23,제주 제주시 남서쪽 36km 지역
2023-07-21,0.9,9.0,1,36.56,129.05,경북 청송군 북쪽 14km 지역
2023-07-20,1.9,13.0,3,36.35,128.23,경북 상주시 남동쪽 9km 지역
2023-07-19,1.6,25.0,1,37.86,129.52,강원 동해시 북동쪽 52km 해역
2023-07-18,1.4,12.0,2,35.51,128.89,경남 밀양시 동쪽 13km 지역
2023-07-17,2.4,13.0,3,35.31,128.58,경남 함안군 동북동쪽 16km 지역
2023-07-17,1.9,19.0,1,33.51,125.93,제주 제주시 서쪽 56km 해역
2023-07-16,1.3,8.0,1,36.67,128.56,경북 예천군 동북동쪽 11km 지역
2023-07-14,1.4,10.0,1,35.97,127.78,전북 무주군 동남동쪽 11km 지역
2023-07-14,1.8,19.0,1,36.45,129.62,경북 영덕군 동쪽 23km 해역
2023-07-13,1.2,15.0,1,38.66,127.53,북한 강원 회양 남서쪽 8km 지역
2023-07-13,1.9,19.0,1,33.53,125.94,제주 제주시 서쪽 55km 해역
2023-07-12,1.5,6.0,1,35.74,127.21,전북 완주군 남남동쪽 19km 지역
2023-07-11,1.4,12.0,1,35.9,129.41,경북 포항시 남구 남남동쪽 13km 지역
2023-07-11,0.8,7.0,1,38.11,127.1,경기 연천군 북동쪽 3km 지역
2023-07-10,1.9,11.0,1,35.09,125.06,전남 신안군 흑산도 북서쪽 57km 해역
2023-07-10,1.1,6.0,1,37.49,128.57,강원 정선군 북북서쪽 15km 지역
2023-07-10,1.3,18.0,1,37.62,129.32,강원 동해시 동북동쪽 21km 해역
2023-07-09,1.3,14.0,1,36.97,129.4,경북 울진군 남쪽 3km 지역
2023-07-09,1.0,15.0,1,37.14,127.23,경기 용인시 처인구 남남동쪽 11km 지역
2023-07-09,0.8,5.0,1,38.12,127.11,경기 연천군 북동쪽 4km 지역
2023-07-06,1.4,10.0,1,35.52,128.9,경남 밀양시 동쪽 14km 지역
2023-07-05,2.1,15.0,1,41.27,129.21,북한 함경북도 길주 북북서쪽 36km 지역
2023-07-03,0.9,14.0,1,35.62,128.97,경북 청도군 동쪽 22km 지역
2023-07-03,3.3,14.0,1,41.3,129.12,북한 함경북도 길주 북북서쪽 42km 지역
2023-07-03,0.9,12.0,1,36.63,128.71,경북 안동시 북북서쪽 7km 지역
2023-07-02,1.6,13.0,1,35.09,125.07,전남 신안군 흑산도 북서쪽 57km 해역
2023-07-02,1.0,7.0,1,36.78,128.85,경북 안동시 북북동쪽 26km 지역
2023-07-01,1.1,9.0,1,38.09,125.4,북한 황해남도 옹진 북쪽 18km 지역
2023-07-01,1.9,18.0,1,37.88,129.53,강원 동해시 북동쪽 54km 해역
2023-07-01,1.4,17.0,1,36.7,127.57,충북 청주시 청원구 북동쪽 9km 지역
2023-06-29,1.7,20.0,1,35.83,129.7,경북 포항시 남구 동남동쪽 37km 해역
2023-06-27,1.5,7.0,1,35.0,127.69,전남 광양시 북쪽 7km 지역
2023-06-26,1.1,8.0,1,36.24,128.31,경북 구미시 북북서쪽 14km 지역
2023-06-25,1.0,13.0,1,35.77,129.19,경북 경주시 남남서쪽 10km 지역
2023-06-25,2.4,17.0,1,41.32,129.21,북한 함경북도 길주 북북서쪽 42km 지역
2023-06-25,1.3,20.0,1,35.85,126.5,전북 부안군 서북서쪽 25km 해역
2023-06-25,1.0,11.0,1,35.77,129.2,경북 경주시 남남서쪽 10km 지역
2023-06-24,0.9,7.0,1,38.13,127.09,경기 연천군 북북동쪽 4km 지역
2023-06-24,0.8,8.0,1,38.13,127.09,경기 연천군 북북동쪽 4km 지역
2023-06-24,0.9,8.0,1,38.13,127.09,경기 연천군 북북동쪽 4km 지역
2023-06-23,1.4,13.0,1,36.17,129.14,경북 포항시 북구 북서쪽 25km 지역
2023-06-22,1.4,11.0,1,36.16,127.73,충북 영동군 서남서쪽 5km 지역
2023-06-20,1.6,9.0,2,36.22,127.48,충남 금산군 북쪽 12km 지역
2023-06-20,1.1,13.0,1,36.75,128.83,경북 안동시 북북동쪽 22km 지역
2023-06-19,1.0,17.0,1,35.08,128.5,경남 창원시 마산합포구 남남서쪽 14km 해역
2023-06-18,2.3,17.0,1,41.28,129.19,북한 함경북도 길주 북북서쪽 38km 지역
2023-06-18,1.2,7.0,1,36.28,127.14,충남 논산시 북북동쪽 11km 지역
2023-06-18,1.4,16.0,1,35.61,129.66,울산 동구 동북동쪽 25km 해역
2023-06-17,1.0,14.0,1,33.46,126.75,제주 제주시 동남동쪽 21km 지역
2023-06-17,2.1,30.0,1,37.86,129.5,강원 동해시 북동쪽 50km 해역
2023-06-16,1.4,12.0,3,34.73,126.87,전남 장흥군 북북서쪽 6km 지역
2023-06-16,1.3,19.0,1,37.87,129.54,강원 동해시 북동쪽 54km 해역
2023-06-16,3.1,25.0,1,34.02,124.8,전남 신안군 흑산도 남서쪽 92km 해역
2023-06-16,1.3,23.0,1,37.87,129.52,강원 동해시 북동쪽 52km 해역
2023-06-16,1.1,17.0,1,37.87,129.53,강원 동해시 북동쪽 53km 해역
2023-06-16,1.3,18.0,1,33.85,126.57,제주 제주시 북쪽 39km 해역
2023-06-15,1.3,18.0,1,33.85,126.57,제주 제주시 북쪽 39km 해역
2023-06-15,1.6,27.0,1,37.86,129.51,강원 동해시 북동쪽 51km 해역
2023-06-15,1.8,25.0,1,37.87,129.5,강원 동해시 북동쪽 51km 해역
2023-06-15,1.0,10.0,1,34.58,128.12,경남 남해군 남동쪽 35km 해역
2023-06-15,1.9,26.0,1,37.87,129.53,강원 동해시 북동쪽 53km 해역
2023-06-14,1.2,10.0,1,35.53,129.35,울산 남구 남동쪽 2km 지역
2023-06-14,1.1,13.0,1,36.53,125.52,충남 태안군 서격렬비도 남남서쪽 9km 해역
2023-06-14,0.7,18.0,1,35.07,128.5,경남 창원시 마산합포구 남남서쪽 15km 해역
2023-06-13,1.3,21.0,1,35.08,128.5,경남 창원시 마산합포구 남남서쪽 14km 해역
2023-06-13,1.2,21.0,1,35.07,128.5,경남 창원시 마산합포구 남남서쪽 15km 해역
2023-06-13,2.0,21.0,2,35.07,128.5,경남 창원시 마산합포구 남남서쪽 15km 해역
2023-06-13,0.9,11.0,1,37.43,127.62,경기 양평군 동남동쪽 14km 지역
2023-06-13,1.1,19.0,1,35.89,129.7,경북 포항시 남구 동남동쪽 33km 해역
2023-06-12,0.8,5.0,1,37.49,127.32,경기 광주시 북동쪽 9km 지역
2023-06-12,1.0,13.0,1,36.04,126.58,충남 서천군 서남서쪽 11km 해역
2023-06-12,1.0,12.0,1,36.75,128.82,경북 안동시 북북동쪽 22km 지역
2023-06-12,1.3,17.0,1,36.46,129.64,경북 영덕군 동북동쪽 25km 해역
2023-06-12,1.2,18.0,1,36.46,129.64,경북 영덕군 동북동쪽 25km 해역
2023-06-11,1.9,21.0,1,35.57,129.75,울산 동구 동북동쪽 31km 해역
2023-06-11,0.9,10.0,1,37.17,126.95,경기 화성시 동남동쪽 11km 지역
2023-06-11,1.3,7.0,1,35.77,127.18,전북 완주군 남쪽 15km 지역
2023-06-08,1.0,7.0,1,36.08,128.09,경북 김천시 남남서쪽 7km 지역
2023-06-07,2.1,22.0,1,41.31,129.16,북한 함경북도 길주 북북서쪽 42km 지역
2023-06-06,1.5,25.0,1,35.63,129.89,울산 동구 동북동쪽 45km 해역
2023-06-06,1.5,12.0,2,35.95,128.14,경북 성주군 서북서쪽 13km 지역
2023-06-05,0.9,5.0,2,36.0,128.02,경북 김천시 남남서쪽 18km 지역
2023-06-05,1.2,11.0,1,36.12,129.35,경북 포항시 북구 북쪽 9km 지역
2023-06-05,2.1,5.0,3,35.77,127.18,전북 완주군 남쪽 15km 지역
2023-06-05,0.8,18.0,1,34.81,127.14,전남 보성군 북동쪽 7km 지역
2023-06-04,1.8,7.0,1,38.49,127.73,북한 강원 회양 남남동쪽 26km 지역
2023-06-04,1.2,22.0,1,35.04,127.76,전남 광양시 북북동쪽 12km 지역
2023-06-03,1.2,19.0,1,35.65,129.75,울산 동구 동북동쪽 34km 해역
2023-06-03,1.5,15.0,1,38.63,127.17,북한 강원 평강 북북서쪽 27km 지역
2023-06-03,1.2,18.0,1,35.98,128.5,경북 칠곡군 동쪽 9km 지역
2023-06-03,1.2,20.0,1,35.92,126.92,전북 익산시 남서쪽 5km 지역
2023-06-02,1.5,24.0,1,37.86,129.52,강원 동해시 북동쪽 52km 해역
2023-06-01,1.1,11.0,1,36.2,126.9,충남 부여군 남쪽 8km 지역
2023-05-31,1.2,15.0,1,35.76,129.19,경북 경주시 남남서쪽 11km 지역
2023-05-31,1.3,18.0,1,35.73,127.31,전북 진안군 서남서쪽 12km 지역
2023-05-30,1.9,8.0,1,39.22,125.17,북한 평안북도 정주 남쪽 52km 해역
2023-05-30,1.6,10.0,1,38.13,127.1,경기 연천군 북북동쪽 4km 지역
2023-05-29,1.0,6.0,1,36.07,129.32,경북 포항시 북구 북서쪽 5km 지역
